nama_siswa,alamat_siswa,nilai_rapor,nilai_ujian_sekolah,nilai_ujian_nasional,aktivitas_ekstrakurikuler,prestasi_olimpiade,minat_jurusan,sekolah_asal,lokasi,sekolah_sma
Debra Robinson,"939 Matthew Heights
Robertstad, MS 19354",9,78,73,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Heather Martinez,"38418 Amanda Freeway Suite 535
Nicholsville, NH 82451",8,84,66,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Sarah Chen,"05268 Bradford Ferry Apt. 903
North Marisafurt, KY 61019",9,70,82,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Jimmy Perez,"8930 Anderson Trail Suite 606
Julieport, AL 99706",8,79,69,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Jo Hawkins,"710 Kelly Junction Suite 711
Vanessaton, TX 15822",8,76,82,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Steven Jackson,"88385 Jenkins Valleys
New Robertburgh, OK 27551",10,79,79,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Heather Morrison,"3325 Ashley Burg Suite 886
Raymondmouth, ME 75884",8,93,65,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Rhonda Maddox,"669 Marsh Roads
North Jamesborough, CT 44128",9,96,100,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Zachary Bennett,"0306 Christopher Tunnel
South Laurieton, CO 18625",8,82,96,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Joel Lawrence,"79549 Brittany View Suite 466
West David, WA 71696",8,73,100,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Lisa Benson,"41274 Hernandez Underpass Suite 798
Allenside, GU 57168",10,77,81,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Ryan Wood,"4665 Kimberly Garden
Jonathanborough, SD 51383",8,97,69,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Louis Smith,"38775 Bradley Coves
Shawmouth, PW 15226",9,91,80,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Erica Horne,"55765 Todd Land Apt. 078
West Brandonhaven, AL 60165",8,88,92,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Eric Cooper,"68135 Zimmerman Ridges Apt. 850
Sarahview, MH 04277",9,72,65,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Scott Gallagher,"268 Matthew Street
Jacksonton, PA 93206",10,84,74,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Kelly Sloan DVM,"6981 Burton Crescent Suite 492
Lake Emily, VA 04315",9,80,71,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Cynthia Gay,"6453 Stephanie Crescent Apt. 707
East Dawn, TN 23929",7,78,70,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
David Hale PhD,"945 Stephanie Rest
Kellytown, AR 85628",7,76,84,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Timothy Brown,"3118 Phillips Knolls
Port Jillian, KS 74814",9,93,61,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
John Thompson,"266 Phillips Pine Suite 859
West John, IL 44837",8,98,86,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Anthony Nelson,"821 Hobbs Pike
New Anthony, NY 63538",9,77,82,olahraga,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Michael Farmer,"7297 Bush Fords Apt. 931
Lake Wayne, NV 69671",9,97,78,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Gerald Nguyen,"294 Cindy Key Apt. 877
Smithmouth, IN 05334",9,95,73,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Brandon Taylor,"1572 Brendan Ferry
Smithport, NE 52574",9,75,93,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Kyle Lyons,"1128 Jamie Divide
Port Tammyton, NJ 12058",10,85,67,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Christopher Navarro,"878 Perez Prairie
New Teresastad, MH 37041",9,72,78,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Frank Wang,"65980 Smith Union Apt. 916
Michaelfort, AS 63985",10,96,64,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Allen Gordon,"1300 Sandra Passage
West Kristyton, OK 36336",8,78,95,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Kevin Romero,"36105 Michael Prairie Apt. 735
South Christinaberg, AZ 43721",9,95,98,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
David Lee,"4313 Jane Path Apt. 890
Millermouth, MA 94207",9,97,75,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Melissa Webster,"958 Oscar Burg
Nancyview, AK 85684",7,100,62,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Derek Duncan,"237 Jones Brooks
Port Craigchester, RI 12731",10,84,86,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Ryan Peterson,"2695 Pineda Causeway
East Amyview, ID 30319",10,79,73,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Nicole Watts,"9186 Williams Ridges Apt. 542
Michaelmouth, MS 44103",9,85,76,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Christopher Lopez,"1665 Hill Route Suite 404
East Danielport, MD 07154",10,80,73,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Kimberly Bush,"1153 Collins Cliff Apt. 169
West Andrew, AS 89888",9,89,78,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Thomas Silva,"Unit 6331 Box 9974
DPO AA 65537",9,90,97,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Michael Pineda,"Unit 8635 Box 3457
DPO AP 72202",7,87,92,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Audrey Wilcox,"88185 Ruiz Ports Suite 089
Lake Robertchester, SC 14740",9,72,73,olahraga,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
David Wilson,"Unit 4185 Box 3971
DPO AP 39888",7,94,75,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Robin Sosa,"68820 Mary Landing
Tannerburgh, SC 61502",7,72,91,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Benjamin Evans,"64462 Harrison Lake Apt. 384
Hansenview, PA 15109",10,83,69,olahraga,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Jeremy Rojas,"652 Gerald Prairie
Port Michaelbury, ID 90593",9,81,88,seni,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Emily Shepard,"358 Cortez Way
Jenniferville, MA 72895",7,70,90,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
David Baker,"6213 Gonzalez Hollow
Mannbury, VA 91956",8,99,75,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Mary Hampton,"09487 Michael Union Suite 346
Annaville, OH 87080",8,74,99,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Stephanie Farmer,"3025 Paul Walks
North Justin, VI 50979",10,81,66,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Ronald Martinez,"59053 Melanie Parks Suite 372
Jonesmouth, TX 58180",8,97,68,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Tanya Allen,"754 Shawn Corner
Carlsonview, IL 90290",10,89,74,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Ryan Bailey,"559 Wallace Views Apt. 092
Leeborough, IA 82846",8,90,74,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Erin James,"761 Jamie Trace
Port Caitlin, HI 26487",9,85,88,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Paul Johnson,"4519 Wright Plains
East Thomas, FM 59283",7,82,83,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Heather Morton,"40257 Murphy Radial
Danielhaven, WA 40692",10,96,95,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Charles Dorsey,"710 Daniel Manors
Johntown, NM 61069",7,75,64,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Heidi Noble,"5247 Claire Loaf
Stephanieland, MS 12847",8,75,96,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Justin Hicks,"421 Walton Islands Apt. 228
South Kyle, ID 05361",10,100,86,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Joseph Tyler,"0452 Brooks Springs
Gregoryfort, FM 67693",7,71,90,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Samantha Black,"714 Murillo Gardens Suite 464
Kennethshire, MO 27017",7,95,64,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Tiffany Stafford,"33487 Michael Circle
Hallview, PR 92742",10,70,95,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Rhonda Johnson,"PSC 7350, Box 5361
APO AP 42230",10,88,95,sains,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Dr. Richard Hall PhD,"236 Flores Canyon
Lake Amandaview, NV 45850",8,71,76,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Jeremy Wood,"078 Dakota Flats Apt. 231
Bryanland, FL 22884",9,97,65,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Gina Jackson,"570 Sharon Ways
Port Lisaton, MT 10566",10,80,97,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Erik Bush,"USCGC West
FPO AA 89366",9,79,76,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Dustin Browning,"USCGC Miller
FPO AP 29728",8,83,95,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Lisa Lopez,"USNV Jensen
FPO AE 95077",9,85,96,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Sarah White,"897 Kevin Corners Apt. 169
Emilyton, NE 01555",9,73,64,olahraga,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Mary Patel,"80592 Bell Rapids
Lake Kayla, ND 64306",10,92,99,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Janet Gomez,"7794 Thompson Trafficway Suite 186
Port Shawnberg, OR 44789",9,87,62,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
John Jacobs,"22864 Armstrong Drives Apt. 606
Whitestad, NM 97296",8,99,83,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Kevin Jones,"493 Amber Cliff
Briggsburgh, OH 01101",8,86,94,olahraga,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Cody Carey,"51326 Mary Run Suite 449
South Veronica, TN 47394",9,74,62,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Heather Jenkins,"1111 Patricia Forks
East Brenda, IA 56179",8,98,82,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Jennifer Evans,"8952 Robbins Ports
West Jason, MA 03140",8,82,81,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Lauren Gonzalez,"813 Vincent Vista
Jeffreyberg, IN 45587",9,95,81,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Kelli Anderson,"74692 Sherry Springs
Victorberg, PR 52730",10,91,69,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Ronald Williams,"86099 Brian Creek Apt. 051
North Erin, NC 12500",8,75,72,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Chad Murphy,"777 Michael Curve Apt. 463
East Tylerton, AR 80360",10,95,98,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Amy Murphy,"981 Bryan Crest Suite 304
Port Ray, NH 66697",8,73,88,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Bradley Krueger,"222 Veronica Brooks Apt. 378
Anthonyborough, FM 07433",8,72,62,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Dr. Natasha Herrera,"49244 Cathy Hills
Ashleymouth, FM 94332",8,71,96,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Justin Diaz,"0384 Ruiz Lodge Apt. 080
East Gregoryville, MO 74376",9,71,82,seni,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Dennis Johnson,"97510 Russell Dam Apt. 327
Brownland, IL 02940",9,85,66,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Christopher Martin,"5344 Kelly Shoals Apt. 197
West Nancy, WV 09388",9,73,88,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Molly Rodriguez,"3212 Burns Point Apt. 260
North Larryton, FL 04923",10,72,79,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Maria Roberts,"130 Pacheco Mall Suite 406
Port Amanda, GU 55570",8,99,73,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Chelsea Thomas,"166 Lyons Ville
West Shannonview, MS 14576",9,96,88,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Alejandro Phillips,"05840 Thompson Port Apt. 591
East Joeville, MH 73964",8,80,74,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Cynthia Rodriguez,"2184 Blair Summit
Scotthaven, OH 77915",9,94,85,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Steven Davidson,"9890 Michael Radial
East Joseph, KS 01205",10,98,87,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Patrick Turner,"4324 Nicole Locks
Taylorland, OR 64227",10,83,63,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Austin Watkins,"898 Lee Shores
East Ashleyport, RI 99917",10,77,65,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Adam Ferguson,"206 Wilson Stravenue Apt. 066
West Monicaland, KS 07658",9,86,66,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Michelle Gregory,"3889 Maria Cliffs
Jensenside, SC 23087",10,81,98,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Jesse Thompson,"21319 Tim Road Apt. 729
Stewartbury, AS 69627",10,91,82,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Joann Rice,"0300 Taylor Street Apt. 237
Elliston, DC 25323",8,71,60,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Todd Webb,"277 Jill Creek
Bowenport, LA 16940",10,95,74,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
David Lee,"86612 Alvarez Mount Apt. 952
Jillmouth, ND 74199",9,99,76,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Deborah Parker,"08639 Tammy Meadows
Lake Samuel, WY 35812",8,77,99,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Colton Cruz,"275 Lawson Island
Jenniferborough, SC 08202",7,100,60,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Erica Morris,"29724 Renee Village
South Brianborough, AL 72787",8,90,92,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Jacob Stevens,"4852 Blanchard Vista
West Patriciaside, ND 02704",10,72,97,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Steven Blanchard,"97059 Jones Corners Suite 436
Andrewside, VA 10442",8,73,64,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Tammy Smith,"102 Nicole Cliff Apt. 914
Wilsonbury, VA 48273",8,88,68,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Gary Bell,"34294 Aaron Coves
Natalieport, NM 76079",9,93,91,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Daniel Mccoy,"9953 Wallace Lodge
South Stephanie, NE 83261",9,99,60,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Rita Rivera,"92480 Romero Track Suite 216
Lake Emilymouth, WI 99581",8,99,82,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Morgan Lynch,"8923 Carson Path
West David, MH 19290",8,88,93,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Hector Fischer,"955 Chavez Harbor
North Alberttown, NY 72049",8,83,87,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Daniel Cummings,"52740 Thompson Rest
Darrylshire, DC 10069",7,92,82,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Kevin Frank,"6798 Pamela Vista
New Marilyn, HI 53269",8,80,80,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Adam Fuller,"02709 Ashley Port
Lake Mary, AR 71384",8,74,64,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Katherine Brooks,"18781 Beard Trail
Ericksonview, AS 37999",9,92,83,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Katrina Bond,"0731 Gutierrez Groves Suite 219
Port Kayla, MP 34368",9,97,71,seni,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Joel Hall,"USNV Ross
FPO AE 84312",8,97,83,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Brittany Hill,"702 Michael Centers Apt. 361
Charlenechester, WA 99024",9,99,74,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Michael Guzman,"97006 Kidd Bridge
South Adam, IN 63814",8,89,82,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Andre Miller,"04442 Morales Course Apt. 711
Catherineport, VA 16569",7,84,66,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Monica Morris,"812 Kemp Walk
Lake Sandrafort, VT 46064",9,86,95,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Robert Thomas,"4784 Jennifer Union
Ramirezborough, VI 44386",7,79,60,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Amanda Cline,"832 Williams Fort
Jennamouth, MO 21325",8,91,66,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Jason Mendoza,"94490 Derek Course Apt. 044
West Jacobburgh, OR 66430",7,97,97,olahraga,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Kelly Morales,"9227 Cervantes Lakes Suite 085
East Thomasburgh, KS 26520",10,82,90,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Christopher Williams,"347 Ashley Prairie Suite 888
Barrerachester, WA 60997",8,83,82,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Rhonda Hoffman,"337 Christopher Trafficway Suite 122
Martinport, CO 85440",8,87,80,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Ian Jensen,"84399 Wallace Prairie Apt. 272
Taylorstad, HI 66311",8,81,68,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Taylor Clark,"50938 Gonzalez Springs
East Amber, TX 96544",9,70,80,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Alan Mullins,"8273 Peterson Road Apt. 276
Port Robert, NM 58677",7,76,98,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Crystal Nguyen,"4829 Jones Falls Apt. 469
Griffithshire, NE 81950",8,96,87,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Brian Padilla,"996 Michael Coves
Joantown, WY 29124",9,85,70,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Brandon Taylor,"2048 Terry Corner Suite 399
West Katherineland, MO 90231",7,90,91,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Erica Johnson,"93307 Crystal Views
Lake Jennifer, LA 20776",7,87,80,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Amanda Casey,"7418 Brent Mountain Apt. 748
Lake Robertfurt, NV 99901",9,82,79,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Mark Ray,"4121 Taylor Union
Chaseton, MH 03551",7,87,81,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Edward Wallace,"7072 Jacob Lights Apt. 508
East Samantha, CA 94961",9,99,99,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Kathleen Morgan,"245 Ashley Keys Suite 610
West Ashleyborough, GA 46673",7,91,98,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Mia Navarro,"2569 Guzman Locks
New Donborough, SC 76755",10,96,95,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Jessica Nelson,"868 Henderson Junctions
Orrview, NY 68615",10,86,94,sains,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Rebecca Malone,"992 Joyce Ridges
Reedfort, MT 82169",8,78,94,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Tyler Baker,"93792 Edward Bypass
Lake John, HI 20648",7,82,65,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Todd Bird,"20380 Davenport Station Suite 689
South Matthew, LA 58507",9,83,86,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
David Logan,"0014 Munoz Lakes
Port Mary, GU 73929",8,99,74,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Becky Smith,"811 Rhonda Valleys
Port Stevenville, NC 10198",9,91,100,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Steve Robbins,"3567 Brittany Oval Apt. 421
Smithhaven, DE 86343",10,79,94,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Kevin Collins,"8755 Clark Vista
South Lindaton, SD 85679",8,94,67,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Michelle Ross,"421 David Lakes Suite 205
Lake Ronald, NJ 63415",10,80,94,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Keith Edwards,"9628 Waller Overpass Suite 885
South Jonathan, CT 26513",9,89,95,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
